id,decimallongitude,decimallatitude,date_year,depth,sst
a91cb234-1b7e-48f8-9f27-893a3607a05c,-64.95659,18.18885,2017.0,38.0,27.76
a9eb86c8-61b1-4ebb-b9ef-ba92204abaa5,-64.95659,18.18885,2019.0,38.0,27.76
aa129816-aa1a-4bde-9ceb-ac304f4fa3db,-64.44963,17.82427,2016.0,33.0,27.83
ab33d2a6-410f-4991-81d4-486536fe8a2c,-64.76408,18.31417,2014.0,6.0,27.71
a397db8a-faa2-4979-b96b-5a18e5235833,-65.00158,18.20217,2016.0,39.0,27.77
acb1373e-3571-4854-bff5-0ca93225d386,-64.90008,17.69116,2016.0,17.0,27.87
a3d2260a-2d4d-44d0-8539-cfa321abe5f7,-65.00158,18.20217,2016.0,39.0,27.77
a3fab6e4-f5b5-49d9-8fa7-6acf7334a6ed,-64.95659,18.18885,2013.0,38.0,27.76
a420d772-87a6-4d67-a028-51695ff255bf,-64.75917,17.78523,2014.0,30.0,27.83
a4d1ad9d-5732-4fd3-a3d1-5868c023aae5,-65.00158,18.20217,2015.0,39.0,27.77
a6845745-32c7-4325-9459-39a6738e2e1c,-64.95659,18.18885,2013.0,38.0,27.76
ba416365-e585-4e9a-b886-82b91c379ef7,-64.87237,18.26267,2016.0,20.0,27.71
b969e2a4-2164-44fb-be89-d452a054b592,-64.87237,18.26267,2015.0,20.0,27.71
b96aa620-c424-40a6-a7f1-9fb3505cf77d,-65.00158,18.20217,2012.0,39.0,27.77
bb29b4b0-22ee-4632-9605-e101130c443d,-64.90008,17.69116,2016.0,17.0,27.87
bae7ed0f-7229-4ebc-ae0f-f19cea211d72,-64.75862,18.24447,2014.0,30.0,27.75
bafd25a4-138f-436d-8bd7-ac048cc87a2b,-65.07677,18.18568,2017.0,30.0,27.77
bc921fae-5164-418e-9681-3909178661c1,-65.00158,18.20217,2016.0,39.0,27.77
bde7bef2-a9ee-48b6-9dc9-aff5994ca553,-64.83238,18.29459,2013.0,15.0,27.71
be0ec6c8-454a-4f70-9021-84e5d93204e2,-64.75917,17.78523,2018.0,30.0,27.83
becb2130-adf1-4739-9979-753e94c53ff4,-64.95659,18.18885,2014.0,38.0,27.76
a6df8dac-05a0-445e-bc36-4a2ea8c6b035,-64.94592,18.28068,2011.0,20.0,27.72
a7f600c8-8932-4d26-b8ec-9f117fc80345,-64.8675,18.29467,2014.0,20.0,27.71
a7a5ac21-78e0-4604-aee9-71d04d8977be,-64.87237,18.26267,2018.0,20.0,27.71
a7c573b6-ddf0-457c-a77e-4b4f3d91e91d,-65.07677,18.18568,2016.0,30.0,27.77
